제목,글쓴이,발행일,카테고리,원문링크
"AI 도입 3단계, 우리 팀은 지금 몇 단계인가요?",소마코,2026-07-08,"협업, AI",https://somako.co.kr/karpathy-ai-adoption-3-stages/?ref=surfit.io
“AI가 쓴 글 아니에요” 브랜드부터 논문까지 ‘AI 문체’ 지우는 이유,최석영,2026-07-08,"디자인, AI, 비즈니스",https://ditoday.com/ai%EA%B0%80-%EC%93%B4-%EA%B8%80-%EC%95%84%EB%8B%88%EC%97%90%EC%9A%94-%EB%B8%8C%EB%9E%9C%EB%93%9C%EB%B6%80%ED%84%B0-%EB%85%BC%EB%AC%B8%EA%B9%8C%EC%A7%80-ai-%EB%AC%B8%EC%B2%B4-%EC%A7%80%EC%9A%B0/?ref=surfit.io
"구글 NotebookLM, 자료를 60초 숏폼 영상으로 요약",디자인 나침반,2026-07-08,"기획, AI",https://designcompass.org/2026/07/07/google-notebooklm-short-video-overviews/?ref=surfit.io
리브랜딩 비하인드 1편. 정체성,강남언니,2026-07-08,"협업, 디자인",https://blog.gangnamunni.com/post/rebranding-2026-1-BIS?ref=surfit.io
리브랜딩 비하인드 2편. 비주얼,강남언니,2026-07-08,디자인,https://blog.gangnamunni.com/post/rebranding-2026-2-visual?ref=surfit.io
GA에게 AI를 쥐어주면 생기는 일,아임웹,2026-07-08,"협업, AI",https://tech.imweb.me/posts/ga-built-office-seatmap/?ref=surfit.io
가짜뉴스법 본격 시행…허위정보 판단 주체는 ’플랫폼’,김원민,2026-07-08,"IT, 비즈니스",https://byline.network/2026/07/0706-4/?ref=surfit.io
"에이전틱 AI 경제학, 사람을 대신해 일하는 AI시장",벤처다이제스트,2026-07-08,"AI, 비즈니스",https://brunch.co.kr/@abyplus/168?ref=surfit.io
"LLM 비용 64% 절감, 캐시 히트율 98% 달성기",정다해,2026-07-08,"개발, AI, 데이터",https://techblog.musinsa.com/llm-%EB%B9%84%EC%9A%A9-64-%EC%A0%88%EA%B0%90-%EC%BA%90%EC%8B%9C-%ED%9E%88%ED%8A%B8%EC%9C%A8-98-%EB%8B%AC%EC%84%B1%EA%B8%B0-d568135bd40e?ref=surfit.io
AI가 읽는 서비스 설계도로 조직의 업무속도를 높이는 법,어피닛,2026-07-08,"기획, 개발, AI",https://blog.afinit.com/ai-native-service-design-organization-productivity?ref=surfit.io
NAT(Network Address Translation): 공인 IP 하나를 여럿이 나눠 쓰는 법,Dale Seo,2026-07-08,개발,https://daleseo.com/nat/?ref=surfit.io
메타가 정유소를 짓기로 했어요,오즈의 지식토킹,2026-07-08,"개발, 비즈니스",https://maily.so/oz.talking/posts/2nznqmn6zp5?ref=surfit.io
전단지를 들고 코엑스 뷰티 박람회에 갔다,꼼마,2026-07-08,"기획, 비즈니스",https://brunch.co.kr/@ggomma/270?ref=surfit.io
참을 수 없는 UX의 저렴함 (2),이동석,2026-07-08,"기획, UIUX",https://brunch.co.kr/@dongseok17/63?ref=surfit.io
스페이스X의 거의 모든 것,비즈쿠키,2026-07-08,"개발, 비즈니스",https://eopla.net/magazines/44316?ref=surfit.io
AI는 왜 바다와 우주로 도망가고 있나?,디오니소스,2026-07-08,"AI, 비즈니스",https://eopla.net/magazines/44451?ref=surfit.io
"음악 무한 복제의 시대, 희소한 것들의 반격",어거스트,2026-07-08,"기획, 비즈니스",https://august.stibee.com/p/381/?ref=surfit.io
"GPT는 왜 자꾸 ""더 도와드릴까요?""라고 물을까",프레이,2026-07-08,"AI, UIUX",https://brunch.co.kr/@kim-yezi/30?ref=surfit.io
"세일즈 팀 만드는 법? 일단, 아무도 뽑지 말자",Peter Shin,2026-07-08,"개발, 비즈니스",https://brunch.co.kr/@shndon0220/369?ref=surfit.io
“AI 버블 터지면 금융 시스템 전체 흔들린다“ 미 재무부 보고서,심재석,2026-07-08,"AI, 커뮤니케이션, 비즈니스",https://byline.network/2026/07/ai-bubble/?ref=surfit.io
"합성 패널 신뢰도, 믿어도 될까? 판단 기준 3가지와 LLM의 한계",오픈서베이 Opensurvey,2026-07-08,"AI, 데이터",https://blog.opensurvey.co.kr/research-tips/synthetic-panel-reliability/?ref=surfit.io
"삼성전자, 'AI 반도체 붐'에 2분기 영업이익 약 1800% 폭증",BBC News 코리아,2026-07-08,"AI, 비즈니스",https://www.bbc.com/korean/articles/c62112vdd19o?ref=surfit.io
"AI한테 화내본 적, 있으시죠",프레이,2026-07-07,"AI, 비즈니스",https://brunch.co.kr/@kim-yezi/26?ref=surfit.io
가짜 베팅으로 1.4억 뷰를 만든 회사,오즈의 지식토킹,2026-07-07,비즈니스,https://maily.so/oz.talking/posts/8do72e5yrgq?ref=surfit.io
메타 AI 디자인 시스템 ‘Astryx’ 오픈소스로 공개,디자인 나침반,2026-07-07,"기획, 디자인, AI",https://designcompass.org/2026/07/06/meta-open-sources-astryx-design-system/?ref=surfit.io
"디자인 시스템의 다음 단계, 모션",만식,2026-07-07,"디자인, UIUX",https://brunch.co.kr/@0f2edcfe3d1d4c6/44?ref=surfit.io
아틀라시안은 어떻게 AI-native로 갔나,Jihyung Yoo,2026-07-07,"디자인, AI, UIUX",https://brunch.co.kr/@jihyungyoo/6?ref=surfit.io
AI 적극 도입이 고용 늘린다?… 직원 수 10% 증가,최석영,2026-07-07,"협업, AI, 비즈니스",https://ditoday.com/ai-%EC%A0%81%EA%B7%B9-%EB%8F%84%EC%9E%85%EC%9D%B4-%EA%B3%A0%EC%9A%A9-%EB%8A%98%EB%A6%B0%EB%8B%A4-%EC%A7%81%EC%9B%90-%EC%88%98-10-%EC%A6%9D%EA%B0%80/?ref=surfit.io
"미드저니, 할리우드 영화사에 내부 AI 실태 공개 요구… 저작권 소송전 격화",김동욱,2026-07-07,"AI, 비즈니스",https://ditoday.com/%EB%AF%B8%EB%93%9C%EC%A0%80%EB%8B%88-%ED%95%A0%EB%A6%AC%EC%9A%B0%EB%93%9C-%EC%98%81%ED%99%94%EC%82%AC%EC%97%90-%EB%82%B4%EB%B6%80-ai-%EC%8B%A4%ED%83%9C-%EA%B3%B5%EA%B0%9C-%EC%9A%94%EA%B5%AC/?ref=surfit.io
100억을 넘기는 기업들은 이렇게 마케팅합니다,플랜브로 박상훈,2026-07-07,비즈니스,https://brunch.co.kr/@planbro/352?ref=surfit.io
